NO,NO_2
2.4849066497880004,62
3.7612001156935624,90
3.6375861597263857,62
2.5649493574615367,24
3.784189633918261,62
2.8903717578961645,49
3.5263605246161616,64
3.258096538021482,45
4.330733340286331,109
3.044522437723423,62
3.9512437185814275,68
2.0794415416798357,33
2.0794415416798357,30
3.091042453358316,54
4.532599493153256,88
3.2188758248682006,71
4.382026634673881,74
3.871201010907891,59
3.6888794541139363,50
4.890349128221754,113
1.791759469228055,70
2.772588722239781,42
4.795790545596741,133
2.5649493574615367,38
2.1972245773362196,24
2.772588722239781,17
4.356708826689592,91
1.791759469228055,48
3.5553480614894135,85
2.3978952727983707,34
3.5263605246161616,85
2.3978952727983707,37
3.258096538021482,73
1.6094379124341003,16
2.4849066497880004,29
2.6390573296152584,38
2.0794415416798357,63
3.1354942159291497,58
2.8903717578961645,58
3.9889840465642745,97
2.302585092994046,46
2.3978952727983707,41
1.6094379124341003,11
2.833213344056216,81
3.6109179126442243,75
2.1972245773362196,36
2.833213344056216,66
4.51085950651685,91
2.1972245773362196,7
1.9459101490553132,55
3.828641396489095,80
3.970291913552122,88
2.1972245773362196,31
4.2626798770413155,71
2.772588722239781,20
1.6094379124341003,31
1.791759469228055,29
1.9459101490553132,24
2.833213344056216,33
2.1972245773362196,53
1.791759469228055,21
2.8903717578961645,51
4.110873864173311,55
1.9459101490553132,56
3.1780538303479458,80
4.382026634673881,54
3.6375861597263857,50
4.859812404361672,107
2.5649493574615367,63
3.784189633918261,76
2.70805020110221,40
1.6094379124341003,40
2.772588722239781,45
2.0794415416798357,55
3.8918202981106265,85
2.1972245773362196,24
3.258096538021482,74
3.2188758248682006,67
3.6635616461296463,83
2.3978952727983707,48
2.6390573296152584,32
3.713572066704308,55
4.204692619390966,62
4.955827057601261,79
2.70805020110221,27
2.6390573296152584,42
3.8918202981106265,93
3.044522437723423,57
2.772588722239781,64
2.1972245773362196,51
4.574710978503383,90
2.4849066497880004,58
1.6094379124341003,32
3.295836866004329,82
4.61512051684126,79
4.672828834461906,101
2.3978952727983707,33
2.1972245773362196,30
2.70805020110221,22
2.0794415416798357,40
2.995732273553991,48
1.791759469228055,22
3.6375861597263857,75
4.543294782270004,85
2.70805020110221,69
4.532599493153256,88
3.4657359027997265,79
2.9444389791664403,57
1.791759469228055,53
1.791759469228055,34
2.1972245773362196,9
1.6094379124341003,46
3.7376696182833684,64
3.8918202981106265,66
3.9318256327243257,44
3.258096538021482,48
1.9459101490553132,30
2.302585092994046,27
2.4849066497880004,39
3.258096538021482,41
2.6390573296152584,42
1.6094379124341003,55
4.51085950651685,94
2.70805020110221,50
2.995732273553991,69
1.6094379124341003,36
1.6094379124341003,35
1.791759469228055,75
2.302585092994046,33
1.6094379124341003,51
4.867534450455582,129
3.58351893845611,84
2.4849066497880004,44
4.174387269895637,52
2.833213344056216,59
2.8903717578961645,62
2.0794415416798357,36
3.5553480614894135,70
2.6390573296152584,56
3.091042453358316,52
4.465908118654584,97
2.3978952727983707,100
2.1972245773362196,77
3.044522437723423,38
3.044522437723423,45
2.3978952727983707,61
2.4849066497880004,46
2.3978952727983707,22
2.0794415416798357,39
4.653960350157523,95
2.6390573296152584,39
4.174387269895637,71
4.61512051684126,118
4.672828834461906,80
1.791759469228055,37
1.791759469228055,66
4.820281565605037,62
3.332204510175204,68
4.553876891600541,91
2.5649493574615367,82
2.4849066497880004,23
3.258096538021482,75
1.6094379124341003,37
3.044522437723423,37
1.6094379124341003,14
2.5649493574615367,38
3.258096538021482,49
1.9459101490553132,62
2.3978952727983707,37
2.0794415416798357,15
1.9459101490553132,80
4.663439094112067,100
3.8066624897703196,90
