track,artist,danceability,energy,valence,tempo,previously_heard,liked
Ain't Back Yet,Kenny Chesney,0.602,0.9440000000000001,0.797,106.958,Heard,Like
Wit Me,T.I. Featuring Lil Wayne,0.754,0.6,0.778,156.93200000000004,Haven't Heard,Dislike
Little White Church,Little Big Town,0.667,0.878,0.816,107.024,Haven't Heard,Dislike
Don't Let Me Be Lonely,The Band Perry,0.597,0.682,0.336,111.022,Haven't Heard,Like
There Goes My Baby,Usher,0.626,0.52,0.257,77.468,Haven't Heard,Like
i,Kendrick Lamar,0.755,0.884,0.897,121.927,Haven't Heard,Dislike
Congratulations,Post Malone Featuring Quavo,0.63,0.804,0.4920000000000001,123.146,Heard,Like
Growing Pains,Alessia Cara,0.353,0.755,0.4370000000000001,191.153,Haven't Heard,Like
Not Ready To Die,Avenged Sevenfold,0.434,0.9840000000000001,0.158,160.011,Haven't Heard,Dislike
Sober Saturday Night,Chris Young Featuring Vince Gill,0.47700000000000004,0.672,0.263,139.864,Heard,Like
Splashin,Rich The Kid,0.9420000000000001,0.382,0.379,100.01700000000001,Heard,Like
Redemption,Drake,0.6940000000000001,0.314,0.33799999999999997,119.906,Heard,Dislike
Night Shift,Jon Pardi,0.63,0.754,0.73,95.999,Haven't Heard,Like
Let There Be Cowgirls,Chris Cagle,0.537,0.7879999999999999,0.727,161.991,Heard,Like
Sucker,Jonas Brothers,0.8420000000000001,0.7340000000000001,0.9520000000000001,137.958,Haven't Heard,Like
Letting Go (Dutty Love),Sean Kingston Featuring Nicki Minaj,0.792,0.8079999999999999,0.7090000000000001,92.064,Haven't Heard,Dislike
Need You Now,Glee Cast,0.55,0.677,0.233,108.037,Haven't Heard,Dislike
Til It Happens To You,Lady Gaga,0.401,0.539,0.15,113.87,Haven't Heard,Like
John,Lil Wayne Featuring Rick Ross,0.589,0.821,0.424,77.472,Heard,Like
Changed,Rascal Flatts,0.442,0.556,0.26,140.563,Haven't Heard,Dislike
How We Do (Party),Rita Ora,0.7390000000000001,0.9259999999999999,0.718,116.03,Heard,Like
El Amante,Nicky Jam,0.6829999999999999,0.691,0.732,179.91,Heard,Like
Feelin' It,Scotty McCreery,0.586,0.759,0.687,184.03099999999998,Heard,Like
Show Me Love,Alicia Keys Featuring Miguel,0.531,0.491,0.521,129.38,Haven't Heard,Like
Stronger (What Doesn't Kill You),Kelly Clarkson,0.562,0.9390000000000001,0.684,116.044,Haven't Heard,Like
Always Remember Us This Way,Lady Gaga,0.5529999999999999,0.502,0.29600000000000004,129.976,Heard,Like
Make Me (Cry),Noah Cyrus Featuring Labrinth,0.588,0.47100000000000003,0.209,152.881,Haven't Heard,Like
Turn Me On,David Guetta Featuring Nicki Minaj,0.7040000000000001,0.7929999999999999,0.41200000000000003,127.96,Heard,Like
Kiss You In The Morning,Michael Ray,0.557,0.909,0.857,152.13,Haven't Heard,Like
Castle On The Hill,Ed Sheeran,0.461,0.8340000000000001,0.47100000000000003,135.007,Heard,Like
